id,value,unit
speed_base,60,units_per_second
speed_bonus,180,units_per_second
speed_half_stat,50,integer
dodge_duration,0.4,seconds
dodge_multiplier,2.5,multiplier
defense_cooldown,2,seconds
ai_defense_cooldown,2,seconds
guard_duration,0.8,seconds
guard_damage_percent,40,integer
perfect_guard_ticks,0.2,seconds
perfect_guard_stagger,0.5,seconds
item_cooldown,5,seconds
move_request_ttl,5,seconds
reaction_base,0.666667,seconds
reaction_min,0.1,seconds
reaction_brains_divisor,2,integer
reaction_jitter,0.1,seconds
decision_min,0.4,seconds
decision_max,0.8,seconds
tactical_commit_min,0.6,seconds
tactical_commit_max,1.2,seconds
guard_mp_recovery,3,integer
